order_id,order_date,customer_email,customer_name,shipping_address,product_name,category,quantity,unit_price,unit_cost,region,channel,status
10013,2024-06-10,darrell18@example.org,Larry Robbins,"740 Cynthia Village Suite 005, Lake Tina, GA 97655",Laptop Sleeve 15in,Accessories,3,29.99,14.99,West,web,completed
10014,2024-06-10,barnold@example.net,Benjamin Ware,"PSC 8059, Box 8262, APO AE 40905",Screen Cleaner Kit,Accessories,3,12.99,7.99,Southeast,mobile,completed
10015,2024-05-15,rachel05@example.org,Mary Gomez,"232 Nicole Burg Apt. 563, Erikville, MS 05576",Desk Lamp LED,Office,1,44.99,19.99,Southwest,email_campaign,completed
10016,2024-10-26,dwalker@example.com,Robert Perez,"5414 May Locks, Sheilaville, FM 34738",Monitor Stand,Office,1,49.99,24.99,Southeast,mobile,returned
10017,2024-03-11,beverlyterrell@example.org,Jeffrey Chandler,"9340 Smith Valley, West Ryan, TN 43780",Blue Light Glasses,Accessories,1,39.99,19.99,West,web,completed
10018,2024-03-22,elizabeth14@example.net,Jason Powell,"66299 Sullivan Village, West Justinchester, WY 76520",Smart Plug 4-pack,Electronics,1,44.99,24.99,Midwest,web,completed
10019,2024-08-27,steven73@example.net,Steven Flynn,"8951 Emily Fork, East Andrew, IA 62778",Blue Light Glasses,Accessories,2,39.99,19.99,Midwest,mobile,completed
10020,2024-02-28,gibsonolivia@example.net,Michael Snyder,"63287 Angela Vista, South Dennismouth, TN 70117",Smart Plug 4-pack,Electronics,2,44.99,24.99,Southeast,web,returned
10021,2024-08-10,stephanie79@example.net,Jessica Meadows,"774 Mary Harbor, Simsview, NV 10656",Whiteboard 24x36,Office,1,69.99,34.99,West,web,cancelled
10022,2024-09-13,jimmy55@example.net,Chris Reyes,"66587 Brown Village, Priceshire, UT 03061",Ergonomic Mouse,Electronics,1,69.99,34.99,Midwest,email_campaign,cancelled
10023,2024-11-23,wwoods@example.com,Sarah Ashley,"3467 Paul Skyway, Ramseymouth, PW 17229",Ergonomic Mouse,Electronics,1,69.99,34.99,Midwest,email_campaign,completed
10024,2024-10-03,meadowsbrittany@example.net,Marvin Taylor,"6537 Rogers Light, Karenchester, KS 11236",Smart Plug 4-pack,Electronics,2,44.99,24.99,Southwest,web,completed
10025,2024-02-27,ismith@example.org,Mrs. Marie Harrington DDS,"09232 Caldwell Port, South Holly, WI 48852",Smart Plug 4-pack,Electronics,1,44.99,24.99,West,web,returned
10026,2024-10-17,catherinestuart@example.net,Robert Oconnell,"9663 Brittany Village, North Heidi, ME 90188",Phone Stand,Accessories,1,19.99,9.99,West,web,completed
10027,2024-09-29,hoganashlee@example.org,Jeffrey Wood,"67165 Zimmerman Mews Apt. 849, Marshallshire, KY 42746",USB-C Hub,Electronics,5,59.99,29.99,Northeast,web,completed
10028,2024-09-27,mariahmiller@example.com,John Bishop,"5273 Salinas Junctions, Nicoleview, OH 01831",Monitor Stand,Office,1,49.99,24.99,Northeast,mobile,completed
10029,2024-12-19,christophercortez@example.com,Cynthia Alvarez,"14363 Beck Land Suite 885, Barajasside, MA 46613",Pen Set Premium,Office,2,28.99,14.99,Midwest,mobile,completed
10030,2024-08-12,qnelson@example.org,Corey Wilson,"37498 Hooper Village, West Jeremy, HI 40119",Desk Lamp LED,Office,2,44.99,19.99,Southwest,email_campaign,completed
10031,2024-01-11,ericksondavid@example.org,Kristen Terry,"09477 Peterson Center Suite 711, Vasquezshire, SC 90475",Smart Plug 4-pack,Electronics,1,44.99,24.99,Midwest,web,completed
10032,2024-12-28,hernandezlisa@example.com,David Grant,"677 Dalton Meadow, Ashleyton, RI 97505",Sticky Notes Bulk,Office,1,18.99,9.99,Midwest,web,returned
10033,2024-05-01,mezajared@example.org,Brad Allen,"67974 Jesse Squares, Jacquelinemouth, CA 90597",Mechanical Keyboard,Electronics,1,129.99,49.99,Southeast,web,completed
10034,2024-10-19,sandrafrench@example.net,Regina Gonzalez,"242 Brian Turnpike, Brookeshire, PW 38329",Standing Desk Mat,Office,1,59.99,29.99,Southwest,mobile,completed
10035,2024-02-19,smartinez@example.com,Terri Mason,"065 Johnson Forks, Port Emilyview, OK 05774",Sticky Notes Bulk,Office,1,18.99,9.99,Midwest,mobile,completed
10036,2024-01-28,thomaspearson@example.com,Kevin Walters,"5655 Mia Isle, Steeleport, TN 52989",Blue Light Glasses,Accessories,3,39.99,19.99,Southeast,mobile,completed
10037,2024-02-25,gibsonleonard@example.com,Raymond Hancock,"876 Jacob Lake, Garrettton, IL 35504",Webcam 1080p,Electronics,3,89.99,39.99,Northeast,web,cancelled
10038,2024-04-03,sarakim@example.net,Mr. Mark Lloyd,"086 Jeffrey Ville Apt. 712, Cantuport, NY 92960",Notebook 200pg,Office,1,14.99,7.99,Northeast,mobile,returned
10039,2024-10-08,robert77@example.org,Charles Lee,"46584 Justin Hills, Grimesmouth, ND 63984",Standing Desk Mat,Office,3,59.99,29.99,Midwest,mobile,completed
10040,2024-05-01,martin86@example.com,Sheila Pollard,"60576 Mcneil Turnpike Apt. 702, Mollymouth, CT 69438",Webcam 1080p,Electronics,4,89.99,39.99,Northeast,web,returned
10041,2024-01-31,jsmith@example.com,Tracy Jones,"9615 Finley Road Suite 809, East Crystalport, IN 98381",Ergonomic Mouse,Electronics,3,69.99,34.99,Midwest,web,completed
10042,2024-08-20,hamiltoncorey@example.net,Ashlee Jackson,"50455 Thomas Pines, Knightburgh, GA 23447",Ergonomic Mouse,Electronics,4,69.99,34.99,Southeast,web,completed
10043,2024-09-06,lynchpatrick@example.net,Thomas Thomas,"4074 Charles Key Suite 647, Jamesfurt, PR 63836",Cable Management Kit,Office,2,24.99,12.99,Midwest,mobile,cancelled
10044,2024-10-04,youngashley@example.net,Michael Johnson,"0909 Wall Heights Apt. 953, New John, WV 94994",Monitor Stand,Office,2,49.99,24.99,Northeast,web,completed
10045,2024-09-14,courtneyberger@example.net,Richard Johnson,"45623 Kristin Wells, Alyssaview, MP 22068",Mechanical Keyboard,Electronics,2,129.99,49.99,Southwest,web,completed
10046,2024-02-05,robin74@example.net,Regina Mcdonald,"685 Krystal Bridge, Amandamouth, MN 88689",Smart Plug 4-pack,Electronics,3,44.99,24.99,Northeast,web,returned
10047,2024-10-18,brenda51@example.net,Alexander Henson,"174 Wilson Cape, West Wendyville, CT 31276",Pen Set Premium,Office,1,28.99,14.99,Northeast,mobile,completed
10048,2024-12-02,paulwatson@example.net,Kimberly Matthews,"179 Crosby Harbors Apt. 537, Sampsonstad, CT 90374",Notebook 200pg,Office,1,14.99,7.99,Midwest,mobile,completed
10049,2024-06-09,amy50@example.com,Walter Rush,"390 Kristin Gardens, Port Anne, CA 73142",Sticky Notes Bulk,Office,1,18.99,9.99,Midwest,web,completed
10050,2024-08-22,brendali@example.org,Charles Lester,"84210 Alexis Turnpike, New Mario, HI 35283",Notebook 200pg,Office,2,14.99,7.99,Southeast,email_campaign,completed
10051,2024-10-15,martinezrobert@example.org,Karen Strickland,"8390 Ellis Burgs, South Melaniechester, TX 14651",Laptop Sleeve 15in,Accessories,1,29.99,14.99,West,web,completed
10052,2024-06-27,cjoseph@example.org,Erica Hernandez,"9847 Garcia Squares Apt. 836, Beasleychester, MA 59942",Webcam 1080p,Electronics,1,89.99,39.99,Northeast,mobile,completed
10053,2024-10-05,gperry@example.com,Maurice Brooks,"11161 Cain Point Apt. 988, Elizabethchester, MI 87708",USB-C Hub,Electronics,1,59.99,29.99,West,web,completed
10054,2024-10-10,uparrish@example.org,Lindsay Bell,"73158 Wilson Harbors, Port Roy, OH 81991",Cable Management Kit,Office,1,24.99,12.99,Southwest,mobile,cancelled
10055,2024-02-24,lynchdiane@example.net,Christopher Park,"0229 Jones Streets Apt. 183, Barnesmouth, GA 49004",Cable Management Kit,Office,1,24.99,12.99,West,web,completed
10056,2024-06-24,jennifer99@example.org,Brittney Webster,"7679 Perry Forge, West Russellport, TX 89431",Whiteboard 24x36,Office,1,69.99,34.99,Northeast,mobile,completed
10057,2024-01-27,trose@example.org,William Brown,"44510 Burgess Extensions, South Amanda, IN 66071",Desk Lamp LED,Office,1,44.99,19.99,Southwest,mobile,completed
10058,2024-03-07,charles06@example.org,Blake Edwards,"641 Smith Islands Apt. 975, South Meganbury, NE 77685",USB-C Hub,Electronics,1,59.99,29.99,Southwest,web,completed
10059,2024-10-14,zwarren@example.com,Connie Maxwell,"835 Luna Viaduct, East Curtis, KS 26357",Standing Desk Mat,Office,2,59.99,29.99,Northeast,mobile,completed
10060,2024-07-08,carriewolf@example.net,Trevor Burton,"995 Hernandez Cliff Suite 744, West Williamport, NH 59734",Wireless Headphones,Electronics,1,149.99,79.99,Northeast,web,cancelled
10061,2024-07-05,brownmarie@example.org,Vanessa Davis,"9807 Marc Mountains Apt. 071, Toniland, NY 85190",Sticky Notes Bulk,Office,1,18.99,9.99,Midwest,web,completed
10062,2024-02-22,benjaminzimmerman@example.com,Lisa Cox,"PSC 6659, Box 0515, APO AE 73634",Mechanical Keyboard,Electronics,1,129.99,49.99,West,email_campaign,completed
10063,2024-05-01,umitchell@example.net,Lindsey Hernandez,"4629 Kyle Lane, Lisahaven, CO 85176",Phone Stand,Accessories,2,19.99,9.99,West,mobile,completed
10064,2024-06-19,bromero@example.com,Trevor Peterson,"22141 Ebony Wells, New Nicholas, GA 24204",Ergonomic Mouse,Electronics,1,69.99,34.99,West,mobile,completed
10065,2024-12-25,jenniferwilliams@example.com,Cynthia Wallace,"83473 Gregory Ports Suite 746, Burchborough, AS 79755",Blue Light Glasses,Accessories,1,39.99,19.99,West,web,cancelled
10066,2024-08-23,moniquewilliams@example.com,Kristen Garcia,"1247 Mariah Course, Port Shannon, MI 03996",Webcam 1080p,Electronics,1,89.99,39.99,Southeast,mobile,completed
10067,2024-04-08,gbrown@example.com,Zachary Brooks,"522 Justin Village, Hortonberg, WV 92977",Phone Stand,Accessories,1,19.99,9.99,Southeast,web,completed
10068,2024-09-17,awest@example.org,Daniel Hernandez,"USCGC Rodriguez, FPO AA 31648",Screen Cleaner Kit,Accessories,1,12.99,7.99,Southeast,web,completed
10069,2024-02-29,david36@example.net,Joyce Rodriguez,"PSC 9808, Box 9324, APO AA 00706",Screen Cleaner Kit,Accessories,4,12.99,7.99,Southwest,web,returned
10070,2024-08-10,john62@example.net,Kelly Ward,"USS Myers, FPO AA 06207",Standing Desk Mat,Office,1,59.99,29.99,Northeast,web,completed
10071,2024-09-18,qzavala@example.net,Richard Cooper,"520 Payne Via, Port Kimberly, NH 91647",Phone Stand,Accessories,2,19.99,9.99,Southwest,mobile,completed
10072,2024-12-28,zwelch@example.org,Ricardo Ellis,"05486 King Terrace, West Michael, WI 06766",Webcam 1080p,Electronics,1,89.99,39.99,Southeast,web,returned
10073,2024-12-09,joshua56@example.com,Stephanie Hughes,"Unit 7758 Box 4161, DPO AA 79465",Blue Light Glasses,Accessories,2,39.99,19.99,Northeast,email_campaign,returned
10074,2024-11-15,amymorris@example.org,Edward Griffin,"757 Jessica Knoll, Hillton, CA 88474",Desk Lamp LED,Office,4,44.99,19.99,Southeast,email_campaign,completed
10075,2024-09-16,zcox@example.net,Tiffany Thomas,"21355 Herring Bypass Apt. 755, Hinesshire, DC 69898",Laptop Sleeve 15in,Accessories,3,29.99,14.99,Southwest,email_campaign,completed
10076,2024-10-10,raymond43@example.org,Cody Holmes,"PSC 1447, Box 3947, APO AE 16575",Cable Management Kit,Office,2,24.99,12.99,Southwest,mobile,completed
10077,2024-03-30,melissahayes@example.net,Brandon Fleming,"518 Vance Vista Apt. 258, North Tracie, WY 18703",Monitor Stand,Office,2,49.99,24.99,Northeast,mobile,cancelled
10078,2024-06-04,kristyjohnson@example.net,Julie Bird,"46786 Morrow Cliffs, West Dawn, NV 61558",Pen Set Premium,Office,3,28.99,14.99,Midwest,mobile,completed
10079,2024-08-26,david89@example.org,Betty Shaw,"242 Marcus Station, West Stacey, NC 37731",Cable Management Kit,Office,2,24.99,12.99,Northeast,mobile,returned
10080,2024-03-27,kingcynthia@example.net,Mario Mendez,"922 Kirby Port, Port Michelleland, AZ 84577",Portable Charger,Electronics,1,59.99,29.99,Midwest,mobile,completed
10081,2024-02-17,debra96@example.net,Kathleen Burton,"3647 Haley Estate Suite 677, West Catherine, MD 94658",USB-C Hub,Electronics,2,59.99,29.99,Southeast,email_campaign,cancelled
10082,2024-01-24,jessica56@example.org,Kayla Rodriguez,"7321 Kelly Lights, Wrightburgh, GU 43418",Notebook 200pg,Office,1,14.99,7.99,Southwest,web,completed
10083,2024-11-18,james27@example.net,Shawn Jimenez,"733 Williams Haven Suite 974, Port Danielberg, FM 35165",Notebook 200pg,Office,1,14.99,7.99,West,web,returned
10084,2024-05-04,kathryn50@example.com,Justin Cox,"784 David Court Suite 558, Kariborough, PA 67232",Sticky Notes Bulk,Office,1,18.99,9.99,Northeast,mobile,cancelled
10085,2024-04-22,cporter@example.org,Gary Wells,"9526 Wheeler Parkways, Ericksonport, NJ 02681",Monitor Stand,Office,2,49.99,24.99,Southwest,web,completed
10086,2024-10-12,mark16@example.net,Steven Wiggins,"9930 Jackson Roads Suite 230, East Andrewmouth, MT 20349",Ergonomic Mouse,Electronics,1,69.99,34.99,West,mobile,cancelled
10087,2024-08-25,avaughn@example.net,Tami Salas,"283 Bolton Neck, Edwardsburgh, NH 70379",Notebook 200pg,Office,1,14.99,7.99,West,mobile,completed
10088,2024-08-14,amy49@example.com,David Grant,"3757 Castro Underpass Suite 419, Huangfurt, GU 45738",Smart Plug 4-pack,Electronics,4,44.99,24.99,West,web,returned
10089,2024-10-07,kellyroberts@example.net,Thomas Douglas,"84842 Christina Radial, East Brent, MH 70105",Pen Set Premium,Office,3,28.99,14.99,West,mobile,returned
10090,2024-05-06,danawilliams@example.com,John Maldonado,"7734 Mitchell Circle, Lake Audreyside, WA 95281",Portable Charger,Electronics,1,59.99,29.99,West,mobile,cancelled
10091,2024-05-20,gentrygregory@example.org,Amanda Huff,"400 Bradley Coves, Justinside, NC 65239",Standing Desk Mat,Office,2,59.99,29.99,West,mobile,returned
10092,2024-06-12,melissamcdonald@example.org,Erin Simon,"54932 Wilcox Passage, Christopherville, HI 18931",Portable Charger,Electronics,1,59.99,29.99,Northeast,web,completed
10093,2024-03-19,pmorris@example.org,David Molina,"USNV Aguilar, FPO AP 01999",Whiteboard 24x36,Office,1,69.99,34.99,Northeast,web,completed
10094,2024-07-31,desiree30@example.net,Eric Sullivan,"145 Jeffrey Dale Suite 279, Robertside, PW 62213",Desk Lamp LED,Office,1,44.99,19.99,Northeast,web,completed
10095,2024-10-26,kathleenbecker@example.net,Angela Griffin,"108 Ashley Drive, West Melissa, NV 15736",Mechanical Keyboard,Electronics,3,129.99,49.99,Northeast,mobile,completed
10096,2024-06-29,jenniferburns@example.net,Anthony Anderson,"740 Scott Alley, New Charles, NE 45659",Wireless Headphones,Electronics,1,149.99,79.99,West,mobile,returned
10097,2024-10-06,weaverbrian@example.org,Mrs. Donna White,"6766 Felicia Shore Apt. 512, Ricebury, MP 00956",Cable Management Kit,Office,2,24.99,12.99,West,mobile,completed
10098,2024-09-05,goodsteven@example.net,Kim Morrow,"43106 John Cliff Apt. 907, East Joyfurt, NV 31216",Pen Set Premium,Office,1,28.99,14.99,West,web,completed
10099,2024-03-25,karenparsons@example.org,Donna Cabrera,"953 Walter Shore Apt. 644, New Stacyburgh, SC 89466",Wireless Headphones,Electronics,2,149.99,79.99,Southeast,email_campaign,cancelled
10100,2024-07-20,dpeters@example.com,Megan Floyd,"2462 Allen Fork Suite 270, Faulknerside, NC 18076",Portable Charger,Electronics,1,59.99,29.99,West,mobile,returned
10101,2024-03-10,nsanchez@example.com,Tammy Boone,"46990 Jacob Trace, South Jason, PW 44143",Sticky Notes Bulk,Office,2,18.99,9.99,Midwest,web,completed
10102,2024-08-20,susan03@example.org,Autumn Key,"936 Andrea Trail, Oscarside, SD 47589",Portable Charger,Electronics,1,59.99,29.99,Northeast,mobile,completed
10103,2024-08-03,jose87@example.com,William Harrison,"5609 Joyce Brook, Angelashire, OR 94874",Laptop Sleeve 15in,Accessories,2,29.99,14.99,Southeast,web,completed
10104,2024-01-27,mphillips@example.com,Kelly Sanchez,"7772 Jackson Stravenue Suite 280, Port Melanieton, WV 01337",Standing Desk Mat,Office,2,59.99,29.99,West,web,completed
10105,2024-01-16,otaylor@example.org,Chris Robinson,"977 Adam Plaza, Smithhaven, VA 36511",Phone Stand,Accessories,1,19.99,9.99,Southeast,email_campaign,completed
10106,2024-03-05,andre62@example.org,Kelly Allen,"4615 Stevens Gardens Apt. 410, South Nicholasside, NJ 07856",Notebook 200pg,Office,1,14.99,7.99,Northeast,mobile,completed
10107,2024-05-11,warnerchristopher@example.com,Erin Madden,"Unit 8033 Box 9740, DPO AE 90210",Noise Cancelling Earbuds,Electronics,1,119.99,59.99,Southwest,web,returned
10108,2024-03-24,rachel90@example.org,Emily Ali,"42939 Rhodes Plains Suite 621, Brianchester, IN 10464",Phone Stand,Accessories,2,19.99,9.99,Northeast,email_campaign,returned
10109,2024-07-11,cassie99@example.com,Erin Walters,"3586 Lopez Prairie Suite 194, Lake Charles, KY 20715",Cable Management Kit,Office,2,24.99,12.99,Northeast,web,completed
10110,2024-11-17,odawson@example.org,Emily Rodriguez,"5412 Jacob Mission Suite 101, Angelamouth, VI 50994",Screen Cleaner Kit,Accessories,2,12.99,7.99,West,web,completed
10111,2024-03-02,carterpaul@example.org,Kristin Haney,"622 Turner Park, North Gary, KY 55695",Notebook 200pg,Office,2,14.99,7.99,Northeast,email_campaign,completed
10112,2024-07-08,todd15@example.com,Michelle Simpson,"24065 Brock Isle Suite 569, West Malik, UT 26827",Sticky Notes Bulk,Office,1,18.99,9.99,West,mobile,completed
10113,2024-09-07,zedwards@example.com,Michael Henry,"6465 Sarah Flats, Lake Katrina, AK 95818",USB-C Hub,Electronics,3,59.99,29.99,Midwest,web,completed
10114,2024-08-23,nhahn@example.com,Sandra Jones,"724 Johnny Drives Suite 617, Aguilarside, NY 91164",Webcam 1080p,Electronics,3,89.99,39.99,Midwest,email_campaign,completed
10115,2024-05-18,ystephens@example.com,Robin Wheeler,"PSC 1352, Box 9096, APO AA 56921",Monitor Stand,Office,4,49.99,24.99,Midwest,mobile,cancelled
10116,2024-10-30,smithjonathan@example.net,Kristin Watts,"7982 Cuevas Orchard Apt. 461, Port Sheliaberg, MI 41381",Pen Set Premium,Office,1,28.99,14.99,West,mobile,returned
10117,2024-08-18,stanley38@example.com,Brent Bowen,"0105 Erica Expressway, New Greg, GA 43884",Standing Desk Mat,Office,1,59.99,29.99,Southeast,web,completed
10118,2024-06-21,omullen@example.com,Charlotte Sandoval,"9660 Jamie Terrace, New Cristianside, HI 48446",Notebook 200pg,Office,2,14.99,7.99,West,mobile,returned
10119,2024-06-30,james14@example.net,Kelsey Fowler,"155 Williamson Via Suite 991, West David, ME 15829",Wireless Headphones,Electronics,1,149.99,79.99,Midwest,web,completed
10120,2024-10-11,nathanielthomas@example.com,Chad Reyes,"274 Jacob Ville, Harveystad, AL 64019",Standing Desk Mat,Office,3,59.99,29.99,Southeast,email_campaign,returned
10121,2024-07-27,jamescruz@example.net,Kathleen Cohen,"2190 Kelly Harbor Apt. 842, Cunninghamfort, OH 67453",Wireless Headphones,Electronics,1,149.99,79.99,Midwest,web,completed
10122,2024-12-30,armstrongjoseph@example.net,Holly Carson,"361 Kenneth Bypass Suite 451, Grimesville, WI 31557",Noise Cancelling Earbuds,Electronics,1,119.99,59.99,Midwest,email_campaign,completed
10123,2024-07-26,lisamatthews@example.com,Lisa Patterson,"09584 Mario Squares, Keithview, PR 67926",Noise Cancelling Earbuds,Electronics,1,119.99,59.99,Midwest,web,completed
10124,2024-09-28,taylorkaren@example.com,Wendy Camacho,"25367 Barbara Grove, Brooksland, SC 12703",Notebook 200pg,Office,1,14.99,7.99,Southeast,web,returned
10125,2024-12-25,rrobertson@example.net,Jackie Clements,"175 Laura Locks, South Mallory, NM 35698",Phone Stand,Accessories,1,19.99,9.99,Midwest,mobile,cancelled
10126,2024-04-08,maria58@example.net,Samuel Kramer,"PSC 0017, Box 0127, APO AA 00589",Portable Charger,Electronics,1,59.99,29.99,Southeast,web,completed
10127,2024-04-20,sharris@example.org,Elizabeth Baxter,"541 Beck Run, North Randy, ME 95657",Laptop Sleeve 15in,Accessories,1,29.99,14.99,Northeast,email_campaign,returned
10128,2024-02-21,rubendavis@example.org,John Anderson,"05162 Jones Lights Apt. 115, Nicoleberg, MS 99218",Noise Cancelling Earbuds,Electronics,2,119.99,59.99,Southeast,mobile,returned
10129,2024-12-28,darlenebyrd@example.org,Alejandra Santos,"269 Heath Corners, East Karenshire, VA 50836",Desk Lamp LED,Office,1,44.99,19.99,Southeast,web,completed
10130,2024-12-23,sylvia52@example.org,Bradley Tran,"043 Julie Hill Apt. 376, East Victorland, NC 02082",Whiteboard 24x36,Office,2,69.99,34.99,Northeast,web,completed
10131,2024-10-20,sarah26@example.net,Joshua Thompson,"91043 Sandra Turnpike, Hunterhaven, WI 54952",Monitor Stand,Office,3,49.99,24.99,Southwest,web,completed
10132,2024-01-27,fmiles@example.net,Lisa Ramirez,"85691 Hale Stream, North John, NE 15703",Cable Management Kit,Office,1,24.99,12.99,Midwest,web,completed
10133,2024-07-24,dsalazar@example.com,Mary Thompson,"027 Mills Tunnel, Garyberg, WA 35728",Standing Desk Mat,Office,3,59.99,29.99,West,web,completed
10134,2024-03-17,wiseanthony@example.com,Austin Joseph,"7850 Villarreal Expressway, Ericville, MH 75724",Noise Cancelling Earbuds,Electronics,1,119.99,59.99,Northeast,email_campaign,cancelled
10135,2024-08-01,perezwilliam@example.org,Alexandria Williams,"08635 Robert Stravenue, Josephland, OK 49365",Sticky Notes Bulk,Office,1,18.99,9.99,West,web,completed
10136,2024-07-13,shawrachel@example.org,Jose Williams,"4518 Smith Flats Suite 949, South Micheal, NM 26115",Pen Set Premium,Office,2,28.99,14.99,Midwest,web,returned
10137,2024-06-05,edwardrandolph@example.org,Gregory Franco,"64138 Robert Circle Apt. 410, Port April, UT 49324",Portable Charger,Electronics,5,59.99,29.99,West,mobile,completed
10138,2024-04-16,fvillegas@example.net,Casey Wilkins,"2344 Howe Lock, Louisview, IN 10290",Sticky Notes Bulk,Office,1,18.99,9.99,Southwest,email_campaign,returned
10139,2024-10-09,derekcarrillo@example.org,Christopher Owens,"74741 Eric Spur Suite 903, Eddiebury, MI 52437",Desk Lamp LED,Office,1,44.99,19.99,Southeast,web,completed
10140,2024-08-28,byrdjorge@example.org,Jared Chavez,"71210 Maria Forges, East Madison, MN 90453",USB-C Hub,Electronics,2,59.99,29.99,Northeast,mobile,completed
10141,2024-08-20,aguilarjonathan@example.org,Austin Orr,"51070 Sandra Meadows, Crawfordfurt, TX 56424",Cable Management Kit,Office,1,24.99,12.99,Northeast,email_campaign,completed
10142,2024-04-11,michaelodonnell@example.com,Stephen Johnson,"476 Brown Harbors, Taylorborough, SD 69420",USB-C Hub,Electronics,2,59.99,29.99,Southwest,email_campaign,completed
10143,2024-05-16,crystalpham@example.org,Rachael Howard DDS,"4205 Anthony Valleys Suite 078, Katiebury, GA 13625",Blue Light Glasses,Accessories,1,39.99,19.99,Northeast,email_campaign,completed
10144,2024-10-18,dianeadams@example.net,Zachary Robinson,"2239 Drake Square Suite 905, New Stacy, MP 65018",Monitor Stand,Office,2,49.99,24.99,Northeast,web,completed
10145,2024-07-25,gregory01@example.org,Daniel Fox,"52500 Brenda Divide, Port Aliciastad, CA 49468",Cable Management Kit,Office,1,24.99,12.99,Midwest,email_campaign,completed
10146,2024-01-21,vwillis@example.com,William Oconnor,"528 Walker Radial Apt. 644, East Jessica, UT 75583",Standing Desk Mat,Office,1,59.99,29.99,Midwest,mobile,completed
10147,2024-04-27,xrosales@example.net,Lance Mccall,"Unit 3917 Box 2513, DPO AA 42380",Blue Light Glasses,Accessories,1,39.99,19.99,Southwest,web,returned
10148,2024-10-22,daisymccarty@example.net,Monica Rogers,"15410 Paul Street, Costachester, NM 50139",Sticky Notes Bulk,Office,3,18.99,9.99,Midwest,email_campaign,completed
10149,2024-08-14,amy17@example.net,Melissa Martin,"0541 Matthew Lane, Lake Charles, MH 12704",Mechanical Keyboard,Electronics,1,129.99,49.99,West,mobile,completed
10150,2024-09-08,brooke97@example.net,Tommy Martin,"15336 Guerrero Hills, North Brandon, OK 72546",Standing Desk Mat,Office,2,59.99,29.99,Northeast,mobile,returned
10151,2024-02-23,xhernandez@example.org,Edward Stanley,"03241 Anthony Inlet, Ruizview, CO 84631",USB-C Hub,Electronics,1,59.99,29.99,Midwest,web,completed
10152,2024-07-24,ylopez@example.com,Andrew Gonzales,"021 Elizabeth Valley Suite 938, Port Paulhaven, MT 70691",Ergonomic Mouse,Electronics,1,69.99,34.99,Southeast,mobile,cancelled
10153,2024-02-29,parmstrong@example.com,James Nash,"72233 Brad Common, Harrisberg, MP 78495",Whiteboard 24x36,Office,1,69.99,34.99,Northeast,web,completed
10154,2024-08-24,luis11@example.com,Kristen Gates,"998 Rodriguez Drive, New Brianna, WV 13634",Screen Cleaner Kit,Accessories,3,12.99,7.99,West,email_campaign,completed
10155,2024-09-12,hartcraig@example.com,Sheryl Humphrey,"970 Joshua Divide Suite 065, North Julie, PW 35704",Blue Light Glasses,Accessories,2,39.99,19.99,Northeast,web,returned
